group,order,table,connection
tenant,79,email_events,tenant
tenant,80,encounter_amendments,tenant
tenant,81,encounter_diagnoses,tenant
tenant,82,encounter_history,tenant
tenant,83,encounter_vitals,tenant
tenant,84,encounters,tenant
tenant,85,expiry_actions,tenant
tenant,86,export_jobs,tenant
tenant,87,external_id_mappings,tenant
tenant,88,faq_articles,tenant
tenant,89,fhir_mappings,tenant
tenant,90,file_objects,tenant
tenant,91,file_versions,tenant
tenant,92,finance_ledger_entries,tenant
tenant,93,finance_ledgers,tenant
tenant,94,financial_kpis,tenant
tenant,95,follow_up_escalations,tenant
tenant,96,follow_up_outcomes,tenant
tenant,97,follow_ups,tenant
tenant,98,generated_documents,tenant
tenant,99,goods_receipt_items,tenant
tenant,100,goods_receipts,tenant
tenant,101,goods_return_items,tenant
tenant,102,goods_return_notes,tenant
tenant,103,hl7_mappings,tenant
tenant,104,holidays,tenant
tenant,105,idempotency_keys,tenant
tenant,106,imaging_appointments,tenant
tenant,107,imaging_charge_items,tenant
tenant,108,imaging_documents,tenant
tenant,109,imaging_modalities,tenant
tenant,110,imaging_orders,tenant
tenant,111,imaging_report_amendments,tenant
tenant,112,imaging_reports,tenant
tenant,113,imaging_studies,tenant
tenant,114,imaging_studies_performed,tenant
tenant,115,imaging_worklist,tenant
tenant,116,immunizations,tenant
tenant,117,import_mappings,tenant
tenant,118,insurance_authorizations,tenant
tenant,119,insurance_benefit_limits,tenant
tenant,120,insurance_members,tenant
tenant,121,insurance_payer_contracts,tenant
tenant,122,insurance_plans,tenant
tenant,123,integration_configs,tenant
tenant,124,integration_health_checks,tenant
tenant,125,integration_mappings,tenant
tenant,126,integration_retries,tenant
tenant,127,integration_sync_items,tenant
tenant,128,integration_sync_runs,tenant
tenant,129,integrations,tenant
tenant,130,inventory_batches,tenant
tenant,131,inventory_categories,tenant
tenant,132,inventory_items,tenant
tenant,133,inventory_kpis,tenant
tenant,134,inventory_price_history,tenant
tenant,135,inventory_supplier_prices,tenant
tenant,136,invoice_items,tenant
tenant,137,invoices,tenant
tenant,138,job_dispatches,tenant
tenant,139,knowledge_articles,tenant
tenant,140,lab_charge_items,tenant
tenant,141,lab_order_items,tenant
tenant,142,lab_orders,tenant
tenant,143,lab_panel_items,tenant
tenant,144,lab_panels,tenant
tenant,145,lab_process_runs,tenant
tenant,146,lab_result_amendments,tenant
tenant,147,lab_result_verifications,tenant
tenant,148,lab_results,tenant
tenant,149,lab_sample_receipts,tenant
tenant,150,lab_samples,tenant
tenant,151,lab_tests,tenant
tenant,152,localization_settings,tenant
tenant,153,location_services,tenant
tenant,154,locations,tenant
tenant,155,master_data,tenant
tenant,156,medication_interactions,tenant
tenant,157,medication_substitutions,tenant
tenant,158,medicine_formulations,tenant
tenant,159,medicines,tenant
tenant,160,messages,tenant
tenant,161,mfa_factors,tenant
tenant,162,mfa_recovery_codes,tenant
tenant,163,mfa_recovery_events,tenant
tenant,164,notification_deliveries,tenant
tenant,165,notification_preferences,tenant
tenant,166,notifications,tenant
tenant,167,operating_hours,tenant
tenant,168,operational_kpis,tenant
tenant,169,password_histories,tenant
tenant,170,password_reset_tokens,tenant
tenant,171,patient_allergies,tenant
tenant,172,patient_analytics,tenant
tenant,173,patient_checkins,tenant
tenant,174,patient_contacts,tenant
tenant,175,patient_emergency_contacts,tenant
tenant,176,patient_family_history,tenant
tenant,177,patient_flags,tenant
tenant,178,patient_guardians,tenant
tenant,179,patient_identifiers,tenant
tenant,180,patient_lifecycle_history,tenant
tenant,181,patient_medical_history,tenant
tenant,182,patient_merge_history,tenant
tenant,183,patient_merge_requests,tenant
tenant,184,patient_problems,tenant
tenant,185,patient_risk_scores,tenant
tenant,186,patient_room_assignments,tenant
tenant,187,patient_social_history,tenant
tenant,188,patient_surgical_history,tenant
tenant,189,patient_tags,tenant
tenant,190,patients,tenant
tenant,191,payables,tenant
tenant,192,payers,tenant
tenant,193,payment_allocations,tenant
tenant,194,payment_events,tenant
tenant,195,payment_intents,tenant
tenant,196,payment_method_configs,tenant
tenant,197,payment_reconciliations,tenant
tenant,198,payments,tenant
tenant,199,permissions,tenant
tenant,200,pharmacy_closings,tenant
tenant,201,pharmacy_returns,tenant
tenant,202,pharmacy_sale_items,tenant
tenant,203,pharmacy_sales,tenant
tenant,204,preauthorization_events,tenant
tenant,205,preauthorizations,tenant
tenant,206,prescription_amendments,tenant
tenant,207,prescription_instructions,tenant
tenant,208,prescription_items,tenant
tenant,209,prescription_refills,tenant
tenant,210,prescriptions,tenant
tenant,211,provider_api_logs,tenant
tenant,212,provider_configs,tenant
tenant,213,provider_departments,tenant
tenant,214,provider_exceptions,tenant
tenant,215,provider_kpis,tenant
tenant,216,provider_leaves,tenant
tenant,217,provider_locations,tenant
tenant,218,provider_schedule_templates,tenant
tenant,219,provider_schedules,tenant
tenant,220,providers,tenant
tenant,221,purchase_invoice_links,tenant
tenant,222,purchase_order_items,tenant
tenant,223,purchase_orders,tenant
tenant,224,purchase_request_items,tenant
tenant,225,purchase_requests,tenant
tenant,226,queue_boards,tenant
tenant,227,queue_events,tenant
tenant,228,queue_tokens,tenant
tenant,229,queues,tenant
tenant,230,recall_instances,tenant
tenant,231,recall_rules,tenant
tenant,232,recall_runs,tenant
tenant,233,receipts,tenant
tenant,234,referral_appointments,tenant
tenant,235,referral_documents,tenant
tenant,236,referral_events,tenant
tenant,237,referral_outcomes,tenant
tenant,238,referral_status_history,tenant
tenant,239,referrals,tenant
tenant,240,refund_reconciliations,tenant
tenant,241,refunds,tenant
tenant,242,reimbursement_items,tenant
tenant,243,reimbursement_requests,tenant
tenant,244,reorder_rules,tenant
tenant,245,report_definitions,tenant
tenant,246,report_exports,tenant
tenant,247,report_favorite_views,tenant
tenant,248,report_filters,tenant
tenant,249,report_runs,tenant
tenant,250,report_schedules,tenant
tenant,251,resources,tenant
tenant,252,retention_actions,tenant
tenant,253,retention_policies,tenant
tenant,254,revenue_aggregates,tenant
tenant,255,role_permissions,tenant
tenant,256,roles,tenant
tenant,257,rooms,tenant
tenant,258,schedule_exceptions,tenant
tenant,259,security_event_actions,tenant
tenant,260,security_events,tenant
tenant,261,service_incidents,tenant
tenant,262,service_package_items,tenant
tenant,263,service_packages,tenant
tenant,264,service_price_history,tenant
tenant,265,service_prices,tenant
tenant,266,service_provider_mappings,tenant
tenant,267,services,tenant
tenant,268,sessions,tenant
tenant,269,signatures,tenant
tenant,270,sms_events,tenant
tenant,271,stock_adjustment_items,tenant
tenant,272,stock_adjustments,tenant
tenant,273,stock_balances,tenant
tenant,274,stock_count_items,tenant
tenant,275,stock_counts,tenant
tenant,276,stock_issue_items,tenant
tenant,277,stock_issue_requests,tenant
tenant,278,stock_ledger,tenant
tenant,279,stock_receipt_items,tenant
tenant,280,stock_reservations,tenant
tenant,281,stock_transfer_items,tenant
tenant,282,stock_transfers,tenant
tenant,283,supplier_bank_accounts,tenant
tenant,284,supplier_contacts,tenant
tenant,285,suppliers,tenant
tenant,286,support_sessions,tenant
tenant,287,support_tickets,tenant
tenant,288,system_settings,tenant
tenant,289,tax_rules,tenant
tenant,290,template_versions,tenant
tenant,291,triage_assessments,tenant
tenant,292,units_of_measure,tenant
tenant,293,user_invitations,tenant
tenant,294,user_locations,tenant
tenant,295,user_roles,tenant
tenant,296,user_status_history,tenant
tenant,297,users,tenant
tenant,298,walk_in_visits,tenant
tenant,299,webhook_endpoints,tenant
tenant,300,webhook_events,tenant
tenant,301,whatsapp_events,tenant
tenant,302,workflow_definitions,tenant
tenant,303,workflow_instances,tenant
tenant,304,workflow_tasks,tenant
